eventID,parentEventID,eventDate,samplingProtocol,sampleSizeValue,sampleSizeUnit,footprintWKT,footprintSRS,countryCode,stateProvinde,municipality,location,fieldNumber,fieldNotes
CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1,CSIC-EEZ:SERPAM:AMOLADERAS_A11,,Point Quadrat Transect,2,m,"LINESTRING (-2.254738 36.83183, -2.254741 36.83181, -2.254741 36.83181, -2.254741 36.83181)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A11_T2,CSIC-EEZ:SERPAM:AMOLADERAS_A11,,Point Quadrat Transect,2,m,"LINESTRING (-2.254729 36.83182, -2.254751 36.83182, -2.254751 36.83182, -2.254751 36.83182)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1,CSIC-EEZ:SERPAM:AMOLADERAS_A10,,Point Quadrat Transect,2,m,"LINESTRING (-2.254716 36.83179, -2.254718 36.8318)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A10_T2,CSIC-EEZ:SERPAM:AMOLADERAS_A10,,Point Quadrat Transect,2,m,"LINESTRING (-2.254727 36.83179, -2.254705 36.8318)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A14_T1,CSIC-EEZ:SERPAM:AMOLADERAS_A14,,Point Quadrat Transect,2,m,"LINESTRING (-2.254617 36.83185, -2.254615 36.83183)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A14_T2,CSIC-EEZ:SERPAM:AMOLADERAS_A14,,Point Quadrat Transect,2,m,"LINESTRING (-2.254627 36.83184, -2.254605 36.83184)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A13_T1,CSIC-EEZ:SERPAM:AMOLADERAS_A13,,Point Quadrat Transect,2,m,"LINESTRING (-2.254724 36.83189, -2.254731 36.83188)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A13_T2,CSIC-EEZ:SERPAM:AMOLADERAS_A13,,Point Quadrat Transect,2,m,"LINESTRING (-2.254738 36.83189, -2.254716 36.83188)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A15_T1,CSIC-EEZ:SERPAM:AMOLADERAS_A15,,Point Quadrat Transect,2,m,"LINESTRING (-2.255239 36.83204, -2.255217 36.83204)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A15_T2,CSIC-EEZ:SERPAM:AMOLADERAS_A15,,Point Quadrat Transect,2,m,"LINESTRING (-2.255233 36.83205, -2.255225 36.83203)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G-C-,rabbit and livestock excluded
