"","measurementID","eventID","measurementType","measurementValue","measurementUnit","measurementMethod","measurementDeterminedDate","measurementRemarks"
"1","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413_01_V09","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413","specific vegetation cover",12,"percentage","Point-Quadrat","20100413","https://vocabs.lter-europe.net/envthes/en/page/20537"
"2","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413_02_V09","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413","specific vegetation cover",2,"percentage","Point-Quadrat","20100413","https://vocabs.lter-europe.net/envthes/en/page/20537"
"3","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413_03_V09","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413","specific vegetation cover",2,"percentage","Point-Quadrat","20100413","https://vocabs.lter-europe.net/envthes/en/page/20537"
"4","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413_04_V09","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413","specific vegetation cover",26,"percentage","Point-Quadrat","20100413","https://vocabs.lter-europe.net/envthes/en/page/20537"
"5","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413_05_V09","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413","specific vegetation cover",2,"percentage","Point-Quadrat","20100413","https://vocabs.lter-europe.net/envthes/en/page/20537"
"6","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413_06_V09","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413","specific vegetation cover",20,"percentage","Point-Quadrat","20100413","https://vocabs.lter-europe.net/envthes/en/page/20537"
"7","CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1_20100413_01_V09","CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1_20100413","specific vegetation cover",8,"percentage","Point-Quadrat","20100413","https://vocabs.lter-europe.net/envthes/en/page/20537"
"8","CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1_20100413_02_V09","CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1_20100413","specific vegetation cover",2,"percentage","Point-Quadrat","20100413","https://vocabs.lter-europe.net/envthes/en/page/20537"
"9","CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1_20100413_03_V09","CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1_20100413","specific vegetation cover",2,"percentage","Point-Quadrat","20100413","https://vocabs.lter-europe.net/envthes/en/page/20537"
"10","CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1_20100413_04_V09","CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1_20100413","specific vegetation cover",4,"percentage","Point-Quadrat","20100413","https://vocabs.lter-europe.net/envthes/en/page/20537"
"11","CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1_20100413_05_V09","CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1_20100413","specific vegetation cover",2,"percentage","Point-Quadrat","20100413","https://vocabs.lter-europe.net/envthes/en/page/20537"
"12","CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1_20100413_06_V09","CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1_20100413","specific vegetation cover",8,"percentage","Point-Quadrat","20100413","https://vocabs.lter-europe.net/envthes/en/page/20537"
