"","measurementID","eventID","parentEventID","measurementType","measurementValue","measurementUnit","measurementMethod","measurementDeterminedDate","measurementRemarks"
"1","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413_V24","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","bare soil cover",5,"percentage","Point-Quadrat","20100413","https://vocabs.lter-europe.net/envthes/en/page/22064"
"2","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413_V28","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","musk/lichen cover",23,"percentage","Point-Quadrat","20100413",NA
"3","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413_V06","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","vegetation cover",58,"percentage","Point-Quadrat","20100413","https://vocabs.lter-europe.net/envthes/en/page/20537"
"4","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413_V03","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","total specific cover",64,"percentage","Point-Quadrat","20100413","https://vocabs.lter-europe.net/envthes/en/page/20537"
"5","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413_V20","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","plant species richness",6,"total number","Point-Quadrat. Number of species","20100413","https://vocabs.lter-europe.net/envthes/en/page/22196"
"6","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413_V17","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","diversity index",1.36821248429008,NA,"Point-Quadrat. Shannon Index","20100413","https://vocabs.lter-europe.net/envthes/en/page/21513"
"7","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20110404_V24","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20110404","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","bare soil cover",6,"percentage","Point-Quadrat","20110404","https://vocabs.lter-europe.net/envthes/en/page/22064"
"8","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20110404_V28","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20110404","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","musk/lichen cover",37,"percentage","Point-Quadrat","20110404",NA
"9","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20110404_V06","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20110404","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","vegetation cover",62,"percentage","Point-Quadrat","20110404","https://vocabs.lter-europe.net/envthes/en/page/20537"
"10","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20110404_V03","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20110404","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","total specific cover",70,"percentage","Point-Quadrat","20110404","https://vocabs.lter-europe.net/envthes/en/page/20537"
"11","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20110404_V20","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20110404","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","plant species richness",7,"total number","Point-Quadrat. Number of species","20110404","https://vocabs.lter-europe.net/envthes/en/page/22196"
