"","eventID","occurrenceID","basisOfRecord","institutionCode","collectionCode","datasetName","ownerInstitutionCode","language","scientificName","kingdom","phylum","order","family","class","genus","taxonRank"
"1","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413_01","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Androcymbium europaeum (Lange) K.Richt.","Plantae","Tracheophyta","Liliales","Colchicaceae","Liliopsida","Colchicum","species"
"2","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413_02","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Filago pyramidata L.","Plantae","Tracheophyta","Asterales","Asteraceae","Magnoliopsida","Filago","species"
"3","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413_03","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Gynandriris sisyrinchium (L.) Parl.","Plantae","Tracheophyta","Asparagales","Iridaceae","Liliopsida","Moraea","species"
"4","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413_04","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Plantago ovata Forssk.","Plantae","Tracheophyta","Lamiales","Plantaginaceae","Magnoliopsida","Plantago","species"
"5","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413_05","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Spergularia diandra (Guss.) Boiss.","Plantae","Tracheophyta","Caryophyllales","Caryophyllaceae","Magnoliopsida","Spergularia","species"
"6","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20100413_06","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Stipa capensis Thunb.","Plantae","Tracheophyta","Poales","Poaceae","Liliopsida","Stipellula","species"
"7","CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1_20100413","CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1_20100413_01","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Androcymbium europaeum (Lange) K.Richt.","Plantae","Tracheophyta","Liliales","Colchicaceae","Liliopsida","Colchicum","species"
"8","CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1_20100413","CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1_20100413_02","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Erodium chium (Burm.fil.) Willd.","Plantae","Tracheophyta","Geraniales","Geraniaceae","Magnoliopsida","Erodium","species"
"9","CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1_20100413","CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1_20100413_03","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Fagonia cretica L.","Plantae","Tracheophyta","Zygophyllales","Zygophyllaceae","Magnoliopsida","Fagonia","species"
"10","CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1_20100413","CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1_20100413_04","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Filago pyramidata L.","Plantae","Tracheophyta","Asterales","Asteraceae","Magnoliopsida","Filago","species"
"11","CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1_20100413","CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1_20100413_05","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Medicago littoralis Rohde ex Loisel.","Plantae","Tracheophyta","Fabales","Fabaceae","Magnoliopsida","Medicago","species"
"12","CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1_20100413","CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1_20100413_06","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Plantago ovata Forssk.","Plantae","Tracheophyta","Lamiales","Plantaginaceae","Magnoliopsida","Plantago","species"
"13","CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1_20100413","CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1_20100413_07","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Reichardia tingitana (L.) Roth","Plantae","Tracheophyta","Asterales","Asteraceae","Magnoliopsida","Reichardia","species"
"14","CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1_20100413","CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1_20100413_08","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Rhagadiolus stellatus (L.) Gaertn.","Plantae","Tracheophyta","Asterales","Asteraceae","Magnoliopsida","Rhagadiolus","species"
"15","CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1_20100413","CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1_20100413_09","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Rostraria pumila (Lam.) Tzvelev","Plantae","Tracheophyta","Poales","Poaceae","Liliopsida","Rostraria","species"
"16","CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1_20100413","CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1_20100413_10","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Spergularia diandra (Guss.) Boiss.","Plantae","Tracheophyta","Caryophyllales","Caryophyllaceae","Magnoliopsida","Spergularia","species"
"17","CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1_20100413","CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1_20100413_11","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Stipa capensis Thunb.","Plantae","Tracheophyta","Poales","Poaceae","Liliopsida","Stipellula","species"
"18","CSIC-EEZ:SERPAM:AMOLADERAS_A13_T1_20100415","CSIC-EEZ:SERPAM:AMOLADERAS_A13_T1_20100415_01","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Androcymbium europaeum (Lange) K.Richt.","Plantae","Tracheophyta","Liliales","Colchicaceae","Liliopsida","Colchicum","species"
"19","CSIC-EEZ:SERPAM:AMOLADERAS_A13_T1_20100415","CSIC-EEZ:SERPAM:AMOLADERAS_A13_T1_20100415_02","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Asphodelus fistulosus L.","Plantae","Tracheophyta","Asparagales","Asphodelaceae","Liliopsida","Asphodelus","species"
"20","CSIC-EEZ:SERPAM:AMOLADERAS_A13_T1_20100415","CSIC-EEZ:SERPAM:AMOLADERAS_A13_T1_20100415_03","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Astragalus sesameus L.","Plantae","Tracheophyta","Fabales","Fabaceae","Magnoliopsida","Astragalus","species"
"21","CSIC-EEZ:SERPAM:AMOLADERAS_A13_T1_20100415","CSIC-EEZ:SERPAM:AMOLADERAS_A13_T1_20100415_04","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Bromus rubens L.","Plantae","Tracheophyta","Poales","Poaceae","Liliopsida","Bromus","species"
"22","CSIC-EEZ:SERPAM:AMOLADERAS_A13_T1_20100415","CSIC-EEZ:SERPAM:AMOLADERAS_A13_T1_20100415_05","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Erodium chium (Burm.fil.) Willd.","Plantae","Tracheophyta","Geraniales","Geraniaceae","Magnoliopsida","Erodium","species"
"23","CSIC-EEZ:SERPAM:AMOLADERAS_A13_T1_20100415","CSIC-EEZ:SERPAM:AMOLADERAS_A13_T1_20100415_06","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Eryngium ilicifolium Lam.","Plantae","Tracheophyta","Apiales","Apiaceae","Magnoliopsida","Eryngium","species"
"24","CSIC-EEZ:SERPAM:AMOLADERAS_A13_T1_20100415","CSIC-EEZ:SERPAM:AMOLADERAS_A13_T1_20100415_07","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Helianthemum salicifolium (L.) Mill.","Plantae","Tracheophyta","Malvales","Cistaceae","Magnoliopsida","Helianthemum","species"
"25","CSIC-EEZ:SERPAM:AMOLADERAS_A13_T1_20100415","CSIC-EEZ:SERPAM:AMOLADERAS_A13_T1_20100415_08","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Plantago ovata Forssk.","Plantae","Tracheophyta","Lamiales","Plantaginaceae","Magnoliopsida","Plantago","species"
"26","CSIC-EEZ:SERPAM:AMOLADERAS_A13_T1_20100415","CSIC-EEZ:SERPAM:AMOLADERAS_A13_T1_20100415_09","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Reichardia tingitana (L.) Roth","Plantae","Tracheophyta","Asterales","Asteraceae","Magnoliopsida","Reichardia","species"
"27","CSIC-EEZ:SERPAM:AMOLADERAS_A13_T1_20100415","CSIC-EEZ:SERPAM:AMOLADERAS_A13_T1_20100415_10","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Stipa capensis Thunb.","Plantae","Tracheophyta","Poales","Poaceae","Liliopsida","Stipellula","species"
"28","CSIC-EEZ:SERPAM:AMOLADERAS_A13_T1_20100415","CSIC-EEZ:SERPAM:AMOLADERAS_A13_T1_20100415_11","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Trigonella monspeliaca L.","Plantae","Tracheophyta","Fabales","Fabaceae","Magnoliopsida","Medicago","species"
"29","CSIC-EEZ:SERPAM:AMOLADERAS_A14_T1_20100413","CSIC-EEZ:SERPAM:AMOLADERAS_A14_T1_20100413_01","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Anagallis arvensis L.","Plantae","Tracheophyta","Ericales","Primulaceae","Magnoliopsida","Lysimachia","species"
"30","CSIC-EEZ:SERPAM:AMOLADERAS_A14_T1_20100413","CSIC-EEZ:SERPAM:AMOLADERAS_A14_T1_20100413_02","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Androcymbium europaeum (Lange) K.Richt.","Plantae","Tracheophyta","Liliales","Colchicaceae","Liliopsida","Colchicum","species"
"31","CSIC-EEZ:SERPAM:AMOLADERAS_A14_T1_20100413","CSIC-EEZ:SERPAM:AMOLADERAS_A14_T1_20100413_03","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Asphodelus tenuifolius Cav.","Plantae","Tracheophyta","Asparagales","Asphodelaceae","Liliopsida","Asphodelus","species"
"32","CSIC-EEZ:SERPAM:AMOLADERAS_A14_T1_20100413","CSIC-EEZ:SERPAM:AMOLADERAS_A14_T1_20100413_04","Occurrence","CSIC-EEZ","SERPAM","AMOLADERAS","AMOLADERAS","es","Bromus rubens L.","Plantae","Tracheophyta","Poales","Poaceae","Liliopsida","Bromus","species"
