occurrenceID,eventID,basisOfRecord,institutionCode,collectionCode,datasetName,ownerInstitutionCode,language,scientificName,kingdom,phylum,class,order,family,genus,decimalLatitude,decimalLongtitude,geodeticDatum
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20100323_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20100323,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472,566459.2,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20100323_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20100323,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472,566458.35,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20100323_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20100323,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472.6666666665,566458.2333333334,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20100323_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20100323,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472.666666666,566459.0666666668,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20110208_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20110208,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472,566459.2,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20110208_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20110208,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472,566458.35,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20110208_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20110208,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472.6666666665,566458.2333333334,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20110208_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20110208,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472.666666666,566459.0666666668,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20120121_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20120121,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472,566459.2,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20120121_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20120121,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472,566458.35,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20120121_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20120121,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472.6666666665,566458.2333333334,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20120121_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20120121,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472.666666666,566459.0666666668,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20130116_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20130116,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472,566459.2,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20130116_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20130116,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472,566458.35,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20130116_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20130116,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472.6666666665,566458.2333333334,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20130116_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20130116,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472.666666666,566459.0666666668,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20140115_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20140115,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472,566459.2,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20140115_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20140115,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472,566458.35,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20140115_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20140115,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472.6666666665,566458.2333333334,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20140115_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20140115,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472.666666666,566459.0666666668,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20150123_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20150123,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472,566459.2,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20150123_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20150123,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472,566458.35,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20150123_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20150123,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472.6666666665,566458.2333333334,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20150123_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20150123,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472.666666666,566459.0666666668,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20151215_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20151215,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472.666666666,566459.0666666668,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20151215_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20151215,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472,566458.35,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20151215_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20151215,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472,566459.2,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20151215_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20151215,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472.6666666665,566458.2333333334,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20170126_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20170126,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472.666666666,566459.0666666668,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20170126_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20170126,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472,566458.35,epsg:25830
