eventID,parentEventID,eventDate,samplingProtocol,sampleSizeValue,sampleSizeUnit,footprintWKT,footprintSRS,countryCode,stateProvinde,municipality,location,fieldNumber,fieldNotes
CSIC-EEZ:SERPAM:AMOLADERAS_A10,,NA,,,,"POLYGON ((-2.254701 36.8318, -2.254715 36.83178, -2.254733 36.83179, -2.254719 36.83181, -2.254701 36.8318))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A11,,NA,,,,"POLYGON ((-2.254724 36.83182, -2.254742 36.83181, -2.254756 36.83182, -2.254738 36.83183, -2.254724 36.83182))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A16,,NA,,,,"POLYGON ((-2.255163 36.83211, -2.255182 36.83211, -2.255193 36.83212, -2.255175 36.83213, -2.255163 36.83211))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A15,,NA,,,,"POLYGON ((-2.255213 36.83204, -2.255223 36.83203, -2.255244 36.83204, -2.255234 36.83205, -2.255213 36.83204))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A14,,NA,,,,"POLYGON ((-2.254617 36.83185, -2.2546 36.83184, -2.254615 36.83183, -2.254632 36.83184, -2.254617 36.83185))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A13,,NA,,,,"POLYGON ((-2.254732 36.83187, -2.254743 36.83189, -2.254723 36.8319, -2.254712 36.83188, -2.254732 36.83187))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A20,,NA,,,,"POLYGON ((-2.25099 36.83238, -2.250968 36.83238, -2.25097 36.83236, -2.250993 36.83236, -2.25099 36.83238, -2.25099 36.83238))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A21,,NA,,,,"POLYGON ((-2.251036 36.83245, -2.251015 36.83246, -2.251004 36.83245, -2.251025 36.83244, -2.251036 36.83245))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A19,,NA,,,,"POLYGON ((-2.250921 36.83255, -2.250906 36.83256, -2.250889 36.83255, -2.250904 36.83254, -2.250921 36.83255))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A23,,NA,,,,"POLYGON ((-2.248759 36.83452, -2.248744 36.83454, -2.248728 36.83453, -2.248743 36.83451, -2.248759 36.83452, -2.248759 36.83452))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 4 | G-C+,livestock excluded
