gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
895236040,834a4794-f762-11e1-a439-00145eb45e9a,C4B4480E-BFDF-4495-A5E0-613B61D5FA5E,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,Colchicum europaeum,NA,SPECIES,Androcymbium europaeum (Lange) K.Richt.,Androcymbium europaeum (Lange) K. Richt.,(Lange) K. Richt.,ES,"entre Alquían y Cabo de Gata, El Retamar",ALMERíA,PRESENT,1,8209258a-80e8-4094-aba2-a3febe5ed45b,36.82,-2.27,7071,NA,4,0,NA,NA,1989-03-25T00:00:00Z,25,3,1989,2740599,2740597,PRESERVED_SPECIMEN,VAL,VAL,22895-1,NA,,NA,CC_BY_NC_4_0,,A. Aguilella,NA,NA,2023-01-24T22:19:44Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
895161281,834a4794-f762-11e1-a439-00145eb45e9a,9390499F-CA5B-4C95-A671-0002739B2E65,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,Colchicum europaeum,NA,SPECIES,Androcymbium europaeum (Lange) K.Richt.,Androcymbium europaeum (Lange) K. Richt.,(Lange) K. Richt.,ES,"entre el Alquián y Cabo de Gata, cerca de Torre García",ALMERíA,PRESENT,2,8209258a-80e8-4094-aba2-a3febe5ed45b,36.82,-2.27,7071,NA,NA,NA,NA,NA,1981-01-30T00:00:00Z,30,1,1981,2740599,2740597,PRESERVED_SPECIMEN,VAL,VAL,133086-1,NA,,NA,CC_BY_NC_4_0,,"Socarro, Pérez Raya & Casares",NA,NA,2023-01-24T22:18:43Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
4091941525,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/149159683,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,Colchicum europaeum,NA,SPECIES,Colchicum europaeum (Lange) J.C.Manning & Vinn.,Colchicum europaeum,,ES,,Andalucía,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,36.874834,-2.587478,28476,NA,NA,NA,NA,NA,2023-02-19T13:54:00Z,19,2,2023,2740597,2740597,HUMAN_OBSERVATION,iNaturalist,Observations,149159683,NA,faluke,2023-02-19T19:31:14Z,CC_BY_NC_4_0,faluke,faluke,NA,NA,2023-06-07T05:36:36Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4080659128,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/153962903,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,Colchicum europaeum,NA,SPECIES,Colchicum europaeum (Lange) J.C.Manning & Vinn.,Colchicum europaeum,,MA,,Marrakech - Tensift - Al Haouz,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,31.294757999999998,-9.880787999999999,29252,NA,NA,NA,NA,NA,2018-01-23T13:59:32Z,23,1,2018,2740597,2740597,HUMAN_OBSERVATION,iNaturalist,Observations,153962903,NA,martef,2023-04-08T17:12:18Z,CC_BY_NC_4_0,martef,martef,NA,NA,2023-06-07T05:51:52Z,StillImage,COORDINATE_ROUNDED
4076374994,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/152736788,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,Colchicum europaeum,NA,SPECIES,Colchicum europaeum (Lange) J.C.Manning & Vinn.,Colchicum europaeum,,MA,,Marrakech - Tensift - Al Haouz,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,31.522934,-9.465557,29226,NA,NA,NA,NA,NA,2023-02-05T12:21:00Z,5,2,2023,2740597,2740597,HUMAN_OBSERVATION,iNaturalist,Observations,152736788,NA,Abdelmonaim Bakali,2023-03-29T16:37:08Z,CC_BY_NC_4_0,Ila France,Ila France,NA,NA,2023-06-07T05:51:32Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4075650598,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/105978728,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,Colchicum europaeum,NA,SPECIES,Colchicum europaeum (Lange) J.C.Manning & Vinn.,Colchicum europaeum,,MA,,Grand Casablanca,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.520900999999995,-7.605338,28957,NA,NA,NA,NA,NA,2021-02-01T13:47:00Z,1,2,2021,2740597,2740597,HUMAN_OBSERVATION,iNaturalist,Observations,105978728,NA,Carlos Jiménez,2023-01-07T14:12:41Z,CC_BY_NC_4_0,Dmitry Kutcherov,Dmitry Kutcherov,NA,NA,2023-06-07T05:46:22Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4058413522,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/262883379,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,Colchicum europaeum,NA,SPECIES,Androcymbium europaeum (Lange) K.Richt.,Androcymbium europaeum,,ES,Spain - Cabo de Gata-Níjar,,PRESENT,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,36.732563999999996,-2.147411,NA,NA,NA,NA,NA,NA,2023-01-23T00:00:00Z,23,1,2023,2740599,2740597,HUMAN_OBSERVATION,,Observations,OBS.262883379,NA,,NA,CC_BY_NC_4_0,Stichting Observation International,User 147025,NA,NA,2023-04-18T13:16:57Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4058164506,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/262411010,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,Colchicum europaeum,NA,SPECIES,Androcymbium europaeum (Lange) K.Richt.,Androcymbium europaeum,,ES,Spain - Cabo de Gata-Níjar,,PRESENT,1000,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,36.73232,-2.1478919999999997,25,NA,NA,NA,NA,NA,2023-01-16T00:00:00Z,16,1,2023,2740599,2740597,HUMAN_OBSERVATION,,Observations,OBS.262411010,NA,,NA,CC_BY_NC_4_0,Stichting Observation International,User 84067,NA,NA,2023-04-18T13:17:12Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4058003990,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/262475796,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,Colchicum europaeum,NA,SPECIES,Androcymbium europaeum (Lange) K.Richt.,Androcymbium europaeum,,ES,Spain - Almería,,PRESENT,100000,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,36.850060000000006,-2.232942,25,NA,NA,NA,NA,NA,2023-01-22T00:00:00Z,22,1,2023,2740599,2740597,HUMAN_OBSERVATION,,Observations,OBS.262475796,NA,,NA,CC_BY_NC_4_0,Stichting Observation International,User 84067,NA,NA,2023-04-18T13:16:56Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4057968854,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/261711365,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,Colchicum europaeum,NA,SPECIES,Androcymbium europaeum (Lange) K.Richt.,Androcymbium europaeum,,ES,Spain - Cabo de Gata-Níjar,,PRESENT,1000,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,36.732822,-2.146407,2,NA,NA,NA,NA,NA,2022-12-22T00:00:00Z,22,12,2022,2740599,2740597,HUMAN_OBSERVATION,,Observations,OBS.261711365,NA,,NA,CC_BY_NC_4_0,Stichting Observation International,User 86092,NA,NA,2023-04-18T13:14:50Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
