"taxa"
"Ajuga iva"
"Alyssum"
"Anagallis arvensis"
"Androcymbium europaeum"
"Arisarum vulgare"
"Artemisia barrelieri"
"Asparagus albus"
"Asphodelus fistulosus"
"Asphodelus tenuifolius"
"Asterolinon linum-stellatum"
"Astragalus sesameus"
"Atractylis cancellata"
"Avena barbata"
"Borraginaceae"
"Bromus rubens"
"Bupleurum semicompositum"
"Cariophyllaceae"
"Carlina hispanica"
"Carrichtera annua"
"Coronilla scorpioides"
"Crassula tillaea"
"Crepis capillaris"
"Crepis vesicaria"
"Cuscuta epithymum"
"Dactylis glomerata"
"Desmazeria rigida"
"Dipcadi serotinum"
"Diplotaxis ilorcitana"
"Echium sabulicolum"
"Erodium chium"
"Erodium cicutarium"
"Erodium malacoides"
"Eruca vesicaria"
"Eryngium ilicifolium"
"Euphorbia exigua"
"Euphorbia falcata"
"Euphorbia sulcata"
"Fagonia cretica"
"Filago pygmaea"
"Filago pyramidata"
"Fumaria"
"Galium murale"
"Gynandriris sisyrinchium"
"Hammada articulata"
"Hedypnois cretica"
"Hedysarum spinosissimum"
"Helianthemum almeriense"
"Helianthemum ledifolium"
"Helianthemum salicifolium"
"Herniaria cinerea"
"Hippocrepis ciliata"
"Lactuca viminea"
"Lagurus ovatus"
"Launaea nudicaulis"
"Leontodon carpetanus"
"Leontodon longirostris"
"Limonium echioides"
"Linaria arvensis"
"Linaria oligantha"
"Linum strictum"
"Logfia arvensis"
"Lolium rigidum"
"Malcolmia africana"
"Medicago littoralis"
"Medicago minima"
"Medicago truncatula"
"Mesembryanthemum nodiflorum"
"Minuartia hybrida"
"Misopates orontium"
"Neatostema apulum"
"Ononis sicula"
"Pallenis spinosa"
"Papaver hybridum"
"Peganum harmala"
"Phagnalon saxatile"
"Plantago afra"
"Plantago albicans"
"Plantago coronopus"
"Plantago lagopus"
"Plantago ovata"
"Polygala monspeliaca"
"Reichardia tingitana"
"Reseda lutea"
"Reseda phyteuma"
"Rhagadiolus stellatus"
"Rostraria pumila"
"Scorpiurus muricatus"
"Silene micropetala"
"Silene sclerocarpa"
"Silene tridentata"
"Spergula fallax"
"Spergularia diandra"
"Stipa capensis"
"Stipa parviflora"
"Teucrium"
"Thymelaea hirsuta"
"Trachynia distachya"
"Trigonella monspeliaca"
"Valantia hispida"
"Volutaria tubuliflora"
"Indeterminado"
